plot,subsample,trt,amapo_v_F22,amapo_nv_F22,amapo_Total_F22,amapo_perV_F22,abuth_v_F22,abuth_nv_F22,abuth_Total_F22,abuth_perV_F22,amapo_v_S23,amapo_Total_S23,amapo_perV_S23,abuth_v_S23,abuth_Total_S23,abuth_perV_S23
101,A,O,2,23,25,0.08,27,3,30,0.9,10,48,0.208333333,21,21,1
101,B,O,0,9,9,0,118,1,119,0.991596639,28,50,0.56,13,13,1
102,A,A,19,11,30,0.633333333,30,0,30,1,1,49,0.020408163,32,32,1
102,B,A,15,31,46,0.326086957,108,0,108,1,10,41,0.243902439,41,41,1
103,A,ACO,16,13,29,0.551724138,28,1,29,0.965517241,5,45,0.111111111,54,55,0.981818182
103,B,ACO,6,17,23,0.260869565,83,1,84,0.988095238,49,76,0.644736842,18,18,1
104,A,C,5,23,28,0.178571429,27,3,30,0.9,40,47,0.85106383,60,61,0.983606557
104,B,C,NA,NA,NA,NA,62,0,62,1,14,38,0.368421053,39,40,0.975
105,A,CO,12,18,30,0.4,29,1,30,0.966666667,26,67,0.388059701,39,39,1
105,B,CO,28,85,113,0.247787611,54,0,54,1,9,42,0.214285714,57,57,1
106,A,AC,3,27,30,0.1,30,0,30,1,10,15,0.666666667,48,48,1
106,B,AC,0,28,28,0,40,1,41,0.975609756,7,39,0.179487179,54,56,0.964285714
107,A,AO,13,14,27,0.481481481,27,3,30,0.9,20,54,0.37037037,34,34,1
107,B,AO,66,70,136,0.485294118,32,1,33,0.96969697,22,47,0.468085106,56,56,1
201,A,AC,20,10,30,0.666666667,29,0,29,1,18,36,0.5,24,24,1
201,B,AC,NA,NA,NA,NA,78,3,81,0.962962963,1,36,0.027777778,52,52,1
202,A,A,14,15,29,0.482758621,29,1,30,0.966666667,21,32,0.65625,24,24,1
202,B,A,NA,NA,NA,NA,85,0,85,1,16,44,0.363636364,35,35,1
203,A,CO,11,15,26,0.423076923,29,1,30,0.966666667,20,41,0.487804878,72,73,0.98630137
203,B,CO,NA,NA,NA,NA,30,1,31,0.967741935,6,35,0.171428571,63,64,0.984375
204,A,ACO,12,14,26,0.461538462,30,0,30,1,40,55,0.727272727,5,5,1
204,B,ACO,NA,NA,NA,NA,NA,NA,NA,NA,46,80,0.575,66,67,0.985074627
205,A,AO,6,24,30,0.2,30,0,30,1,13,21,0.619047619,46,46,1
205,B,AO,NA,NA,NA,NA,104,0,104,1,35,64,0.546875,18,18,1
206,A,O,19,11,30,0.633333333,30,0,30,1,5,47,0.106382979,38,38,1
206,B,O,NA,NA,NA,NA,90,2,92,0.97826087,37,43,0.860465116,61,61,1
207,A,C,11,19,30,0.366666667,30,0,30,1,7,54,0.12962963,32,32,1
207,B,C,NA,NA,NA,NA,69,0,69,1,3,27,0.111111111,32,33,0.96969697
301,A,AC,21,9,30,0.7,28,2,30,0.933333333,63,65,0.969230769,22,22,1
301,B,AC,NA,NA,NA,NA,87,6,93,0.935483871,43,58,0.74137931,8,8,1
302,A,CO,7,23,30,0.233333333,29,1,30,0.966666667,9,45,0.2,44,45,0.977777778
302,B,CO,NA,NA,NA,NA,52,3,55,0.945454545,0,41,0,42,42,1
303,A,A,23,7,30,0.766666667,28,1,29,0.965517241,1,41,0.024390244,53,54,0.981481481
303,B,A,NA,NA,NA,NA,36,0,36,1,NA ,NA,NA,46,47,0.978723404
304,A,AO,11,17,28,0.392857143,30,0,30,1,32,36,0.888888889,47,51,0.921568627
304,B,AO,NA,NA,NA,NA,26,0,26,1,2,30,0.066666667,26,26,1
305,A,O,21,9,30,0.7,29,1,30,0.966666667,NA   ,NA,NA,37,37,1
305,B,O,NA,NA,NA,NA,30,1,31,0.967741935,59,72,0.819444444,56,58,0.965517241
306,A,ACO,12,16,28,0.428571429,28,2,30,0.933333333,17,28,0.607142857,47,48,0.979166667
306,B,ACO,NA,NA,NA,NA,33,1,34,0.970588235,39,46,0.847826087,20,20,1
307,A,C,16,14,30,0.533333333,27,3,30,0.9,7,48,0.145833333,48,48,1
307,B,C,NA,NA,NA,NA,61,1,62,0.983870968,37,43,0.860465116,NA,NA,NA
307,B2,C,NA,NA,NA,NA,NA,NA,NA,NA,30,45,0.666666667,NA,NA,NA
401,A,CO,17,12,29,0.586206897,27,3,30,0.9,57,66,0.863636364,50,51,0.980392157
401,B,CO,NA,NA,NA,NA,107,1,108,0.990740741,43,49,0.87755102,59,59,1
402,A,AC,18,11,29,0.620689655,27,3,30,0.9,0,28,0,19,19,1
402,B,AC,NA,NA,NA,NA,61,1,62,0.983870968,29,67,0.432835821,17,17,1
403,A,AO,14,12,26,0.538461538,26,3,29,0.896551724,46,51,0.901960784,62,62,1
403,B,AO,NA,NA,NA,NA,45,0,45,1,32,43,0.744186047,50,50,1
404,A,C,12,16,28,0.428571429,27,1,28,0.964285714,41,61,0.672131148,52,52,1
404,B,C,NA,NA,NA,NA,51,1,52,0.980769231,26,43,0.604651163,15,15,1
405,A,O,9,21,30,0.3,29,1,30,0.966666667,24,29,0.827586207,55,56,0.982142857
405,B,O,NA,NA,NA,NA,90,1,91,0.989010989,1,40,0.025,32,32,1
406,A,ACO,8,20,28,0.285714286,28,2,30,0.933333333,2,43,0.046511628,30,30,1
406,B,ACO,NA,NA,NA,NA,51,1,52,0.980769231,4,63,0.063492063,73,73,1
407,A,A,2,28,30,0.066666667,27,1,28,0.964285714,7,22,0.318181818,46,48,0.958333333
407,B,A,NA,NA,NA,NA,54,0,54,1,35,70,0.5,20,22,0.909090909